users,topic,text,times,quote
 Полупокерша ,Travel,"Жилет обязаны давать всем-и детям,и взрослым.ну а за ребенком вы сами должны смотреть."," 29 июня 2022, 07:13 ",
 Гость ,Travel,Вообще на морских прогулках всем пассажирам выдают жилеты и без жилетов вообще никого на палубе быть не должно," 29 июня 2022, 07:32 ",
 Гость ,Travel,"Жилет обязательно выдают,в остальном зависит от возраста.если мелкий и шустрый,я бы добавила поводок для детей,такие сейчас продают во многих местах,который помогает контролировать их в опасных ситуациях .Звучит не очень,но безопасность важнее.их тянет к воде,особенно если видят дельфинов итд,насмотрелась на экскурсиях"," 29 июня 2022, 08:52 ",
 Гость ,Travel,"Следить это понятно, он адекватный и послушный, вырос, поэтому надо везде брать с собой. Плавать не умеет, да даже если бы и умел, там же глубоко"," 29 июня 2022, 11:27 ","Жилет обязаны давать всем-и детям,и взрослым.ну а за ребенком вы сами должны смотреть."
 Гость ,Travel,"Вот почему то никого не видела в жилетах. Мне это странно. Ещё и ощущение, что на катер набирают людей, сколько придет, в том году осенью, напихались как в автобус в час пик"," 29 июня 2022, 11:28 ",Вообще на морских прогулках всем пассажирам выдают жилеты и без жилетов вообще никого на палубе быть не должно
 Автор ,Travel,У большинства соотечественников даже загранпаспортов нету. О чем они думают? Нечего же будет вспомнить в старости #путешествияв2022," 28 июня 2022, 19:43 ",
 Гость ,Travel,"А путешествовать можно только заграницу? По России не? У меня есть загранпаспорт, но хотелось бы свою страну обследовать для начала)"," 28 июня 2022, 20:00 ",
 Мужло подлое ,Travel,Они едут и летят," 28 июня 2022, 20:01 ",
 Мужло подлое ,Travel,"Не ужасно ли и не обидно ли было думать, что Моисей входил на Синай, что эллины строили свои изящные акрополи, римляне вели Пунические войны, что гениальный красавец Александр в пернатом каком-нибудь шлеме переходил Граник и бился под Арбеллами, что апостолы проповедовали, мученики страдали, поэты пели, живописцы писали и рыцари блистали на турнирах для того только, чтобы французский, немецкий или русский буржуа в безобразной и комической своей одежде благодушествовал бы «индивидуально» и «коллективно» на развалинах всего прошлого величия?"," 28 июня 2022, 20:02 ",
 Ваше Высочество ,Travel,Я сегодня утром посетил Незер. А днём сгонял в Винтерхолд," 28 июня 2022, 20:04 ",
 Гость ,Travel,"Я напутешествовалась до 25, бывшие бойфренды возили. Сейчас мне 33, не тянет. Да и самолётов всю жизнь панически боюсь(."," 28 июня 2022, 20:09 ",
 lada_002 ,Travel,"Планирую в отпуск лететь на море в Турцию, очередь до аптечки дошла. Какое универсальное обезболивающее можно кинуть, чтобы при женских болях, болях в спине и мало ли зубную боль обезболило. В прошлом году брала кеторол, не помог при растяжении спины( Отдых был испорчен, покатались на водных лыжах называется((( #аптечка #отпуск"," 28 июня 2022, 15:46 ",
 Гость ,Travel,"При болях надо к врачу обращаться, а не на лыжах кататься. Обезболивающие на время до приема врача"," 28 июня 2022, 16:00 ",
 gurrygrow ,Travel,"Ой, вы- смелые! Я такая трусиха и на экстремальные развлечения не затянешь ни под каким предлогом. Только голова может болеть на отдыхе, кеторолом и минералкой спасаюсь)"," 28 июня 2022, 16:28 ",
 Гость ,Travel,"Как минимум всегда нужна разминка. На зарядку с аниматорами ходите и не будут для мышц сюрпризом ваши развлечения. Мужу, при растяжении, спину кетоналом мажу и пояс пуховой. На утро как огурчик всегда)"," 28 июня 2022, 17:02 ",
 Limonka ,Travel,"Всегда в аптечке держу Дексонал табл. Меня только он берёт, другое не помогает. С болью за 15 минут справляется и в показаниях как раз все то, что вы перечислили."," 28 июня 2022, 17:22 ",
 sarna ,Travel,"Не могу промолчать! Такие советчики конечно, мало того, что рецептурные препараты советуют, так ещё и сажающие желудок. Отдыхайте без фанатизма и таблетки не понадобятся. Нурофен киньте на всякий случай."," 28 июня 2022, 17:54 ",
 Автор ,Travel,"Девушки, расскажите куда этим летом полетите отдыхать? Выбираю отдых в сентябре, выбора не много, Абхазия, Грузия, Крым, может Турция, больше не куда. #отдых #лето #абхазия #грузия #крым #турция"," 28 июня 2022, 00:41 ",
 Гость ,Travel,"Через Турцию Мексика ,Доминикана ..И остальные направления ."," 28 июня 2022, 00:55 ",
 Гость ,Travel,"на дачу полетим. картоху заготавливать тоже в турцию бы поехали. но зачем-то посадили картошку на даче, а не в турции. наверное, в следующем году будем сажать на майами, чтоб туда по осени летать"," 28 июня 2022, 01:14 ",
 террорист ,Travel,"Я так на дачу хочу, но ее продали. Девушки, возьмите меня кто нибудь в мексику с собой"," 28 июня 2022, 01:35 ",
 Гость ,Travel,"в кексику они тебя возьмут. там рабство - дачное рабство. сначала будешь картоху копать, потом банки закручивать. потом еще крышу на сарае латать. а, под конец ""отдыха"" - еще и машину по грязи толкать"," 28 июня 2022, 01:45 ","Я так на дачу хочу, но ее продали. Девушки, возьмите меня кто нибудь в мексику с собой"
 Гость ,Travel,"Турция не вариант,уже ударила в спину,ток Абхазия,ДНР,Крым"," 28 июня 2022, 01:49 ",
 Автор ,Travel,"Куплены билеты на самолет в Сочи на 02.07.2022,, а там сейчас ливни и смерчи. Билеты невозвратные, если не полетим потеряем 25000 рублей. как думаете , наладится ли к концу недели погода? #отдыхвроссии"," 27 июня 2022, 15:27 ",
 Гость ,Travel,"Летите, не терять же деньги."," 27 июня 2022, 15:43 ",
 Гость ,Travel,Все уже хорошо. Сегодня загорали," 27 июня 2022, 15:46 ",
 Гость ,Travel,Ага к свете летите. она почистит :)))," 27 июня 2022, 15:56 ","Вам поможет Света 8962 932 88 47. Она мне мужа вернула, и удачу. Мужу наколдовали родственники его, и он внезапно ушёл от меня к какой то студентке. Я так ревела,не знала что делать, думала ,что отравлюсь таблетками, жить не хотела. Светлана посмотрела и сказала что на него это колдовством сделали. Она почистила меня и мужа, всё плохое отправила обратно злодеям. К Свете раз в месяц езжу, на всякий случай"
 г0сть что в г0рле к0сть ,Travel,ЧакрЫ?," 27 июня 2022, 15:57 ",Ага к свете летите. она почистит :)))
 Гость ,Travel,Билеты не возвратные - на воздушном шаре летите?," 27 июня 2022, 16:22 ",
 Анна ,Travel,"Интересует тот момент когда вы пришли с моря в номер в обед. Что дальше делаете? Сама сейчас на море с парнем, интересно, послушать других как проводите время. #путешествияв2022 #отношения"," 27 июня 2022, 12:15 ",
 Белая Ночь ,Travel,Крестиком вышиваем," 27 июня 2022, 12:35 ",
 Гость ,Travel,"кроссворды, телевикторины, по три в ряд"," 27 июня 2022, 12:36 ",
 Lenchik Nek ,Travel,Вам мой жизненный совет. В отношениях между мужчиной и женщиной не должно быть чужого мнения и чужих советов. Живите своим умом!," 27 июня 2022, 12:39 ",
 Анна ,Travel,"Просьба все же серьезно ответить. Мы к примеру после душа секс, потом спим или лежим отдыхаем. А вы?"," 27 июня 2022, 12:40 ",Крестиком вышиваем
 Вау🍷 ,Travel,"Мы пьем пиво, смотрим телек, сидим в инете, можем и поспать если рано встали. Но обычно ходим на пляж на весь день."," 27 июня 2022, 12:41 ",
 Я ,Travel,Может есть тут Кто летит в августе в Сочи пос. Лазаревское. с Тюмени ?! Как вам цена на перелёт? Стоит брать билеты или ценник упадёте. В том году перелёт на двоих нам обошёлся в 19000 тр туда-обратно. В этом все 40000 . А на море хочется. #путешествияв2022 #финансы #отдыхвроссии," 27 июня 2022, 10:55 ",
 Гость ,Travel,извращенцы," 27 июня 2022, 11:09 ",
 г0сть что в г0рле к0сть ,Travel,В Крым надо ехать.," 27 июня 2022, 11:12 ",
 Гость ,Travel,"В Черном море огромный слой сероводорода (единственное такое в мире), это сильнейший яд, потому талассотерапия там не возможна Хочешь просто побухать, так дома это дешевлеПотому - Таиланд, Бали, Мальдивы"," 27 июня 2022, 11:31 ",
 Мария Петровна ,Travel,"Вам платят? Люди сами решат, куда им ехать"," 27 июня 2022, 12:26 ",В Крым надо ехать.
 Мария Петровна ,Travel,"Вы такую чушь пишите. Никто не будет нырять на самое дно)) а в определенной концентрации, которая гораздо меньше везде - это полезно"," 27 июня 2022, 12:28 ","В Черном море огромный слой сероводорода (единственное такое в мире), это сильнейший яд, потому талассотерапия там не возможна Хочешь просто побухать, так дома это дешевлеПотому - Таиланд, Бали, Мальдивы"
 Автор ,Travel,"Петербуржцы расскажите немного о Питере, о том как там жить, о плюсах и минусах. Не беря во внимание текущую ситуацию. #переезд"," 26 июня 2022, 17:25 ",
 Гость ,Travel,"В Петербурге очень хорошо жить, если есть своя квартира. Если своей квартиры нет, но зарплата хорошая, то можно снять хорошую квартиру и опять хорошо жить."," 26 июня 2022, 17:48 ",
 гость ,Travel,"Плюс в том, что большой и красивый город, есть куда сходить. Работы много и транспорт хорошо ходит. А минус - это погода. Почти весь год небо серого цвета, то дождь, то морось, а с октярбя по февраль все дорогие в говнище и только одно желание - повеситься"," 26 июня 2022, 17:51 ",
 Король Вумана ,Travel,"Что сказать. Много чурок, высокая оплата по ЖКХ и с начала июня твари ее повысят на 5%. ЗП здесь на самой простой работе, если без связей, 30-40 тыщ. Ничего особенного тут нет"," 26 июня 2022, 17:53 ",
 Гость ,Travel,"Погода дождливая. Высокая влажность обьясняется географическим расположением города, но в целом красиво из за обилия исторических мест. Переехать надумали?)"," 26 июня 2022, 17:55 ",
 Гость ,Travel,"Каменные джунглиПрироды ноль, свежего воздуха ноль"," 26 июня 2022, 18:09 ",
 Автор ,Travel,"Здравствуйте!) Подскажите, пожалуйста, кто из Выборга или хорошо знает это место, где можно искупаться и сделать шашлыки?  Едем в Выборг на несколько дней, хотим провести вечер на природеГородской пляж не подходит, больше интересуют озера или уединенные берега залива. И так чтоб не очень далеко от города было, в пределах часа езды. #отдыхвроссии"," 26 июня 2022, 10:32 ",
 Гость ,Travel,"Если вы, две одинокие девушки, то я готов быть из Выборга, и отвезти показать ещё и сам шашлыки пожарю. В обмен на устрицы"," 26 июня 2022, 11:16 ",
 Гость ,Travel,"Увы , мы не одинокие:)"," 26 июня 2022, 11:23 ","Если вы, две одинокие девушки, то я готов быть из Выборга, и отвезти показать ещё и сам шашлыки пожарю. В обмен на устрицы"
 Василий ,Travel,"А зачем вам Выборг? Возьмите Зеленогорск, час езды от Выборга..."," 27 июня 2022, 14:55 ",
 Автор ,Travel,"Вот недавно узнала что в моем Красноярском крае есть город Бородино. И думаю, неужели то самое? 😁 Посмотрела в интернете, то самое Бородино было под Москвой. Пошла в карты и забила Бородино. Вылезло несколько вариантов, несколько из них под Москвой, а один в Красноярском крае.Почему так? И почему я только сейчас узнала???? #города"," 25 июня 2022, 21:03 ",
 Ненавижу женщин. Недорого ,Travel,1) У российских властей не хватает фантазии. 2) ты дура_," 25 июня 2022, 21:12 ",
 Гость ,Travel,И Вам того же 💖," 25 июня 2022, 21:16 ",1) У российских властей не хватает фантазии. 2) ты дура_
 Марта ,Travel,"Ну, есть еще немалый массив информации, доселе лично Вам неизвестной. Это нормально. А Бородино - это же абсолютно естественно. С древних времен люди носили бороды. Где жили наиболее яркие бородачи, там и Бородино. А жили они, практически, везде. Наверняка существуют и альтернативные версии. В любом случае, названия населенных пунктов по нашей стране очень часто повторяются. Фантазия скудновата. Вот в чем ""секрет""."," 25 июня 2022, 22:10 ",
 Василий ,Travel,"Потому что названий для населённых пунктов гораздо меньше, чем этих самых населённых пунктов. Вас однофамильцы не смущают? А их гораздо больше, один населённых пунктов с одинаковыми названиями."," 27 июня 2022, 14:56 ",
 Автор ,Travel,Кто отдыхал на чёрном или Азовском море в этом году? Где были? Понравилось ли вам? Кто планирует и куда? #путешествияв2022 #маршрутыдляпутешествия #отдыхвроссии," 25 июня 2022, 11:53 ",
 Гость ,Travel,ЭМИРАТЫ!!!," 25 июня 2022, 12:24 ",
 Гость ,Travel,На Мадейру планирую.," 25 июня 2022, 12:26 ",
 Гость ,Travel,В Сочи . Было весело ) если интересно расскажу. 😊," 25 июня 2022, 12:33 ",
 Olmeka ,Travel,"ой а я живу на Черном море)) Уже и плавала и загорала и все в кайф) Сейчас чуть погода испортилась, а как потеплеет опять, я снова на морееее))"," 25 июня 2022, 13:00 ",
 Гость ,Travel,"Армия рф отдыхает на азовском море ,говорят шумно"," 25 июня 2022, 13:05 ",
 Автор ,Travel,"Где уже отдыхали в этом году, что посоветуете? #отдыхвроссии #маршрутыдляпутешествия #путешествиенамашине #путешествияв2022"," 25 июня 2022, 05:00 ",
 Гость ,Travel,В лесу шашлык жарил) если такой ответ устраивает 😂 предлагаю повторить мой опыт," 25 июня 2022, 10:43 ",
 Гость ,Travel,"В Салоники ездила, это в Греции"," 25 июня 2022, 10:55 ",
 Гость ,Travel,В Турции," 25 июня 2022, 11:00 ",
 Автор ,Travel,"Накрылись поездки в страны ЕС, Британию и США. Кто-то сейчас ездил, как обстановка? #путешествияв2022"," 24 июня 2022, 20:37 ",
 ВВ ,Travel,"Как фунты относятся к ЕС и США? Поясните, автор."," 25 июня 2022, 09:02 ",
 Подруга_Декстера ,Travel,в каком смысле Великобритания запретила поставлять фунты? Фунты стерлингов? Кому и куда? В Россию?," 25 июня 2022, 09:09 ",
 Мужло подлое ,Travel,Англичанка гадит всегда и давно. Пора бы её запретить," 25 июня 2022, 09:10 ",
 ВВ ,Travel,Тиха! Автор думает...," 25 июня 2022, 09:11 ",в каком смысле Великобритания запретила поставлять фунты? Фунты стерлингов? Кому и куда? В Россию?
 Гость ,Travel,"Автор что-то ляпнул, чтобы тему поднять. Как же теперь жить и путешествовать? Ну в общем-то почти как и раньше, только надо сильнее заморачиваться. В принципе так же, как залезть к соседу через забор, только теперь забор есть, высокий, крепкий, новый, и у охранника полное соли ружьё) втихомолку не получится, только в открытую, затратив кучу сил и времени. А вы чего, собственно, ждали?"," 25 июня 2022, 09:11 ","Как фунты относятся к ЕС и США? Поясните, автор."
 Автор ,Travel,Где лучше отдохнуть. #маршрутыдляпутешествия #путешествияв2022," 24 июня 2022, 19:28 ",
 Гость ,Travel,Вайгач," 25 июня 2022, 08:35 ",
 Гость ,Travel,Джубга.," 25 июня 2022, 08:36 ",
 Автор ,Travel,Какое вам больше по душе? #маршрутыдляпутешествия," 24 июня 2022, 16:18 ",
 Девушка Орочимару🐍 ,Travel,Саргассовое," 24 июня 2022, 16:29 ",
 Гость ,Travel,на Азовском не была потому выбрала бы его," 24 июня 2022, 16:34 ",
 Дольче в ,Travel,Там ш каки в море сливают," 24 июня 2022, 16:43 ",
 Гость ,Travel,Нью-йорские как⁣ахи тоже до недавнего времени в море-окиян сливали.," 24 июня 2022, 16:50 ",Там ш каки в море сливают
 НоЫВоигура ,Travel,"Я видел в испании,в капсалоу,канализационную толстую трубу уходящую в море. Везде сливают в море,не только в россии."," 24 июня 2022, 17:09 ",Нью-йорские как⁣ахи тоже до недавнего времени в море-окиян сливали.
 Луч солнца золотого ,Travel,"Где в России самая красивая осень 🍂🍁🧡? В Москве, Башкирии, Воронеже...?Чтобы начиналась нормально, в сентябре, долго была «золотой», и не только дождь, но и солнце, и так до декабря. Интересует именно осень. Если ещё и у «большой» воды (озеро, река, море), то вообще идеально. #отдыхвроссии"," 24 июня 2022, 00:26 ",
 Гость ,Travel,Рядом со своей любовью!," 24 июня 2022, 00:33 ",
 Луч солнца золотого ,Travel,💛💛💛," 24 июня 2022, 00:40 ",Рядом со своей любовью!
 Ксения З. ,Travel,В Горном Алтае," 24 июня 2022, 01:01 ",
 Гость ,Travel,в москве и петербурге (золотая осень)," 24 июня 2022, 01:04 ",
 Гость ,Travel,В любом парке любого насланного пункта до полярного круга (чтоб деревья были)," 24 июня 2022, 02:40 ",
 Автор ,Travel,"Девушки, хочу попутешествовать по Северу РоссииМаршрут примерно такой Северодвинск -- Архангельск -- Киров -- Кирово-Чепецк -- Омутнинск. Интересует что-нибудь уникальное и жуткое (не монастыри, центр города). Плюс колорит - еда и условно ""медведя"". Кто-нибудь что интересное знает? Как быть если у меня не российский паспорт, какая-нибудь регистрация, погранзона, мобилизация есть? #путешествияв2022"," 23 июня 2022, 21:25 ",
 Гость ,Travel,"Да какой же это север?Если хотите на север РФ, то эвенкия, диксон. В дудинке самый северный музей РФ. Посвящён коренным народам севера, весьма интересен.В эвенкии можно как туристу посетить шаманские ритуалы."," 23 июня 2022, 21:32 ",
 Гость ,Travel,"Если доберётесь до диксона, то там вам белые медведи будут везде. А ездить придётся на собаках или оленях, иного транспорта там нет."," 23 июня 2022, 21:33 ",
 Гость ,Travel,Диксон - далеко сильно - долго добираться. Плюс закрытая зона," 23 июня 2022, 21:35 ",
 Гость ,Travel,"Я человек южный, для меня даже СПб жуткий север и холода😚"," 23 июня 2022, 21:36 ",
 Гость ,Travel,"Диксона 2, есть остров, а есть город, который распололен на побережье материка.Вы спросили про север аутентиный, вот там оно есть))"," 23 июня 2022, 21:37 ",Диксон - далеко сильно - долго добираться. Плюс закрытая зона
 Гость ,Travel,"Привет всем! Ну что, лето продолжается. У многих отпуск идёт,#путешествияв2022"," 23 июня 2022, 12:35 ",
 Гость ,Travel,"греческие острова - все бы хорошо, если бы не греческий сервисприрода класная"," 23 июня 2022, 12:48 ",
 Гость ,Travel,Накоплю денег и уеду отсюдава😝," 23 июня 2022, 12:49 ",
 Гость ,Travel,"Я как птица в клетке, хомяк в колесе.Хорошо хоть ума хватило не влезть в долги"," 23 июня 2022, 12:50 ",
 Неудачница ,Travel,Я тоже совершу долгожданный полёт... ... В ОГОРОД ХАХАХАХАХА," 23 июня 2022, 12:52 ",
 Аматерасу-Хатшепсут ,Travel,"Я планирую со своим спортивным лагерем поехать в Геленджик, если все будет хорошо. В конце августа-начале сентября."," 23 июня 2022, 12:53 ",
 Автор ,Travel,"Подскажите какие есть классные санатории в России? Нужно современное, и чтобы природа вокруг классная. #отпуск #отпусквроссии"," 23 июня 2022, 11:07 ",
 Гость ,Travel,белокуриха," 23 июня 2022, 11:27 ",
 Гость ,Travel,"в санатории не отдыхают, умница. Там лечатся."," 23 июня 2022, 11:36 ","Ой, в России только нищеброды отдыхают. Мы только в Италии и на юге Франции. Мужики, которые зарабатывают меньше миллиона, нищуки, от них воняет, и они не должны иметь секса никогда."
 Dark Night Rider ,Travel,Алексеевская больница и психушка им Ганнушкина.," 23 июня 2022, 11:49 ",
 Гость ,Travel,"Эта баба из категории ""Хотела на Канары, а везу тебя за МКАД"". По её тексту, чувствуется что описала свои мечты"," 23 июня 2022, 11:57 ","в санатории не отдыхают, умница. Там лечатся."
 Гость ,Travel,Ну и отдыхают заодно.Это отдых с лечением и оздоровлением," 23 июня 2022, 12:20 ","в санатории не отдыхают, умница. Там лечатся."
 Автор ,Travel,"Как относитесь к круизам? Не боитесь ли? Я раньше думала что это только в фильмах, и то грустных. Укачивает ли? Возможно ли уснуть при такой качке? Стоит ли не особо «бывалому» путешественнику ехать? #путешествияв2022"," 23 июня 2022, 08:20 ",
 Гость ,Travel,"Разные есть круизы .Если есть морская болезнь ,,клаустрофобия ...то не очень советубт .Есть любители .Год назад по 200$ неделю можно было забронировать на год вреред .Собирайте побольше информации о конкретном круизе и перевозчике ."," 23 июня 2022, 08:35 ",
 Гость ,Travel,"Может быть,стоит до круиза взять морскую прогулку на большом теплоходе?оцените ощущения свои.У меня в начале прогулки были не очень,потом поняла,что если дышать в ритме качки,легче становится)а вообще идея хорошая,и не забудьте крем от загара,на воде быстро можно обгореть!"," 23 июня 2022, 09:01 ",
 Гость ,Travel,чем меньше кораблик тем сильнее укачивает. чем выше живешь тем сильнее укачивает.," 23 июня 2022, 10:13 ",
 Ласточка ,Travel,"Кто куда на отдых? Я без отпуска в этом году, хоть вас послушаю 😭 #отдых"," 22 июня 2022, 16:32 ",
 Гость ,Travel,"Я тоже не поеду никуда,только на дачу. Ремонт делаем)"," 22 июня 2022, 16:47 ",
 Гость ,Travel,Банально до тошноты. Едем в Сочи))," 22 июня 2022, 17:02 ",
 Чайлдфри ,Travel,Тоже банально в турцию," 22 июня 2022, 17:24 ",
 Гость ,Travel,"Хотели в Грузию, но слишком много переездов. Видимо родные Кавказ или Алтай"," 22 июня 2022, 17:37 ",
 Avanturistka ,Travel,Горы," 22 июня 2022, 21:38 ",
 Sa ,Travel,"Привет! Я девушка, мне 30. Ищу попутчицу за 30л. для переезда в азиатскую страну. У меня не так много денег чтобы осуществить переезд в одиночку. Поскольку мне уже 30, студенческую визу мне уже не получить. Жила в Китае какое-то время, работала училкой английского, но из-за ковида пришлось уехать. Сейчас снова хочу уехать, но желательно ""с концами"" . Очень люблю Корею, но легально там сложно найти место под солнцем. Пишите те кто ничем не обременен, любит Азию и желает переехать. Я бы сорвалась хоть завтра! #корея #азия #переезд #заграницу #поискпопутчикавпутешествие"," 22 июня 2022, 02:17 ",
 Гость ,Travel,Работала училкой... Учитель никогда не назовёт себя училкой. Поездай в Узбекистан.," 22 июня 2022, 08:23 ",
 Гость ,Travel,Поезжай*," 22 июня 2022, 08:24 ",Работала училкой... Учитель никогда не назовёт себя училкой. Поездай в Узбекистан.
 Гость ,Travel,"В Казахстан, Узбекистан, Киргизию, Таджикистан никаких проблем переехать, проблемы возникнут с переездом в Туркмению, Афганистан, Иран, Пакистан и т.п. страны."," 22 июня 2022, 09:30 ",
 Sa ,Travel,"🤣 училка английского в ""кругах учителей в Китае"" обычное название. Все все понимают, что мы не учителя вовсе. Потому что едут туда с дипломами (с дипломом обязательно) не из педа и на уроках детям сопли вытирают. Не знаете кухню, не варитесь в этом."," 24 июня 2022, 02:00 ",Работала училкой... Учитель никогда не назовёт себя училкой. Поездай в Узбекистан.
 Гость ,Travel,"Видно не училкой вы туда ездили,а то бы знали,что законы изменились и берут училкой только из англоговорящих стран, сказали бы честно,что обслуживали первый этаж."," 28 декабря 2022, 15:48 ","🤣 училка английского в ""кругах учителей в Китае"" обычное название. Все все понимают, что мы не учителя вовсе. Потому что едут туда с дипломами (с дипломом обязательно) не из педа и на уроках детям сопли вытирают. Не знаете кухню, не варитесь в этом."
 Автор ,Travel,Всем привет! В какую европейскую страну сейчас можно поехать из России? Какие страны сейчас выдают на визы? #путешествиенамашине #путешествияв2022," 21 июня 2022, 20:15 ",
 Гость ,Travel,"По-моему легче перечислить какие не выдают. Тем более, что получив шенген можно ехать в любую страну Шенгена."," 21 июня 2022, 20:36 ",
 Дина ,Travel,В любую," 21 июня 2022, 20:40 ",
 Гость ,Travel,"Цены на самолёт заоблачные. Прямых рейсов нет, это жесть"," 21 июня 2022, 20:52 ",
 Гость ,Travel,"Литва закрыла с 22 числа транзит в Калининград из России и сваливает всё на Евросоюз. Мол это они дали такое указание. Сегодня вечером решается судьба Литвы. Евросоюз уже отказался от литовских мер, заявив, что страны сами решают, как им действовать, они дают только рекомендации. Американцы сейчас испуганы действием Китая, он начал операцию по Тайваню."," 21 июня 2022, 20:59 ","Цены на самолёт заоблачные. Прямых рейсов нет, это жесть"
 Гость ,Travel,То-то поляки заволновались. Русские уже объявили об ответных мерах. Мало не покажется. И никакое НАТО не поможет.," 21 июня 2022, 21:04 ","Литва закрыла с 22 числа транзит в Калининград из России и сваливает всё на Евросоюз. Мол это они дали такое указание. Сегодня вечером решается судьба Литвы. Евросоюз уже отказался от литовских мер, заявив, что страны сами решают, как им действовать, они дают только рекомендации. Американцы сейчас испуганы действием Китая, он начал операцию по Тайваню."
 Сара Авербух 😘 ,Travel,"Всем привет! 😉 Рассматриваю разные города мира для переезда одной, чтобы начать новую жизнь. Так сказать, с чистого листа) Так вот, рассматриваю не Россию, а рубеж, при чем тёплые страны, так как мечтаю, да и вообще, собираюсь, построить собственный дом с бассейном, а для этого, все есть, остаётся выбрать место и купить землю) Стремлюсь в те страны где высокие зарплаты!) Можете что-нибудь посоветовать. Я пока предложу своё, кому не сложно проголосовать, прошу это сделать 🤗"," 21 июня 2022, 17:12 ",
 Гость ,Travel,"Нет, Никита, я никуда не поеду. У меня 2 страны и я буду в них жить"," 21 июня 2022, 17:24 ",
 Liger ,Travel,Возраст ? Специальность ? Возможность получения визы ? Имеющиеся накопления ? Что не нравится в РФ ?," 21 июня 2022, 17:25 ",
 Liger ,Travel,Уровень владения языком ..?( каким ?)," 21 июня 2022, 17:26 ",Возраст ? Специальность ? Возможность получения визы ? Имеющиеся накопления ? Что не нравится в РФ ?
 Гость ,Travel,"Швейцария благополучная и развитая страна, лучше туда, если конечно тебя кто-то туда пустит"," 21 июня 2022, 17:28 ",
 Лев ,Travel,У нее/него уровень владения языком может быть только одним. Каким ты понимаешь," 21 июня 2022, 17:33 ",Уровень владения языком ..?( каким ?)
 Автор ,Travel,"Уважаемые форумчане, подскажите, кто ездил в Абхазию на море. Давно хочу поехать, недавно увидела аидео, что там отключают на ночь электричество, а когда гуляешь по заброшенным территориям могут следить нехорошие личности. Вот вопрос так ли это? И куда, в какой город лучше ехать в таком случае, где безопаснее? Или вообще не стоит ехать😆 плиз дайте комменты знающие и бывалые в той стране люди. Спасибо #путешествияв2022"," 21 июня 2022, 10:10 ",
 Гость ,Travel,"Сейчас там начнется сезон цветения воды - здравствуйте кишечные, особенно у детей! В общем - добро пожаловать."," 21 июня 2022, 10:43 ",
 Бухие бухи ,Travel,"Я была в маленьком поселке с чистым морем, нашла по отзывам. В крупных населенных пунктах море может быть грязным. Одной в безлюдных местах лучше не ходить."," 21 июня 2022, 10:47 ",
 Мужло подлое ,Travel,"Мужчины отдыхали в ресторане ""Апсны"" в Пицунде в компании девушек. Согласно предварительным данным, местный житель подошел к столику и начал приставать к дамам. Сообщается, что после просьбы не мешать он выхватил пистолет и открыл огонь по 35-летним мужчинам. Как отмечает канал, одному российскому путешественнику он прострелил колени и стопу, другому — левую ногу и ранил в таз, пострадавших госпитализировали в одну из больниц Сочи 😊"," 21 июня 2022, 10:57 ",
 Автор ,Travel,"***😱 я передумала, выберу что то другое"," 22 июня 2022, 07:48 ","Мужчины отдыхали в ресторане ""Апсны"" в Пицунде в компании девушек. Согласно предварительным данным, местный житель подошел к столику и начал приставать к дамам. Сообщается, что после просьбы не мешать он выхватил пистолет и открыл огонь по 35-летним мужчинам. Как отмечает канал, одному российскому путешественнику он прострелил колени и стопу, другому — левую ногу и ранил в таз, пострадавших госпитализировали в одну из больниц Сочи 😊"
 Lisa ,Travel,"Сестра приезжает из-за заграницы в Россию, какие нужны документы для авиа? Пцр-тест, паспорт, что ещё... #поездки #путешествияв2022"," 21 июня 2022, 06:45 ",
 Гость ,Travel,Смотря откуда приезжает," 21 июня 2022, 07:57 ",
 Гость ,Travel,Она гражданка России? Тогда ничего кроме перечисленного вами," 21 июня 2022, 09:15 ",
 Гость ,Travel,А ПЦР разве не по по лету в Россию делают граждане сейчас?," 21 июня 2022, 09:23 ",Она гражданка России? Тогда ничего кроме перечисленного вами
 Гость ,Travel,Тогда и ПЦР не нужен.," 21 июня 2022, 10:46 ",Она гражданка России? Тогда ничего кроме перечисленного вами
 Гость ,Travel,Ковид паспорт с прививками.," 21 июня 2022, 10:47 ",
