en,ru
"I just have a channel that has music except for, like every hour, you know, say eight o'clock, nine  o'clock, they come on for just a little bit of the news.","У меня просто есть канал, на котором есть музыка, за исключением, например, каждого часа, ну, скажем, в восемь-девять часов, они включаются только для того, чтобы посмотреть немного новостей."
Sure.,Конечно.
Right.,Верно.
"But as far as the actual news, I get that from like a call from the,","Но что касается реальных новостей, я получаю их, например, от звонка из,"
can you hold on just for a second?,ты можешь задержаться всего на секунду?
Sure.,Конечно.
Just a minute.,Всего минуту.
answers the other Hello sir comes back to speaker,отвечает на другой Здравствуйте сэр возвращается к громкоговорителю
Yes.,Да.
"Yes,","Да,"
I'm sorry to keep you waiting,"Мне жаль, что я заставил вас ждать"
Okay,Окей
"Uh, I was calling from work","Э-э, я звонил с работы"
so and that was a call waiting.,"итак, и это был ожидаемый звонок."
Right.,Верно.
"it sounds like you, uh, like the news a lot more than I do.","похоже, тебе, э-э, новости нравятся гораздо больше, чем мне."
"Me, I figure if it's something really important, somebody will tell me about it.","Что касается меня, я полагаю, что если это что-то действительно важное, кто-нибудь расскажет мне об этом."
"But, uh, you know, I, the thing is if, if I catch the news all the time, it just makes me depressed because they tend to produce a lot of bad news.","Но, э-э, вы знаете, я, дело в том, что если я все время ловлю новости, это просто приводит меня в депрессию, потому что они, как правило, приносят много плохих новостей."
Or that's what  comes on first.,"Или это то, что приходит на ум в первую очередь."
"Yeah,","Да,"
That's true too.,Это тоже правда.
"And, uh, you know, also late at night, you know, I don't like watching the news late at night","И, э-э, вы знаете, также поздно вечером, вы знаете, я не люблю смотреть новости поздно ночью"
but my wife is usually up then,но моя жена обычно тогда не спит
and so  I can't go to sleep with the T V on.,и поэтому я не могу лечь спать с включенным телевизором.
Uh-huh.,Угу.
"Uh-huh,","Ага,"
uh-huh.,угу.
"I, uh,","Я, э-э,"
"but, you know, I, I wish I had, uh, more news on things like, that I consider long range. Things like science and medicine","но, вы знаете, я, я хотел бы, чтобы у меня было, э-э, больше новостей о таких вещах, которые я считаю долгосрочными. Такие вещи, как наука и медицина"
Uh-huh.,Угу.
"uh, I'm more, I guess I'm more into science and science fiction","э-э, я больше, я думаю, я больше увлекаюсь наукой и научной фантастикой"
"and, uh, there's, you know,","и, э-э, есть, ты знаешь,"
"not that the news is science fiction,","не то чтобы новости были научной фантастикой,"
"but, uh, uh, I'm more interested in that.","но, э-э-э, меня больше интересует это."
"Things like, uh, is NASA ready for another space shot. Uh, you know, how hot are they on the trail of a cure for such and such cancer","Такие вещи, как, э-э, готово ли НАСА к очередному космическому снимку. Э-э, вы знаете, насколько они горячи в поисках лекарства от такого-то рака"
Uh-huh.,Угу.
"and, uh, uh, you know, a lot of the news isn't that interesting to me.","и, э-э-э, вы знаете, многие новости мне не так уж интересны."
Yeah.,Да.
"Well, you're right.","Что ж, ты прав."
"There is a lot of it that's, that's just garbage, as far as I'm concerned, you know.","Есть много такого, что, знаете ли, это просто мусор, насколько я могу судить."
Uh-huh.,Угу.
"But I just like the, more or less, the, the daily news, you know. Just, uh, especially the weather.","Но мне просто нравятся, более или менее, ежедневные новости, вы знаете. Просто, э-э, особенно погода."
Yeah.,Да.
I like that,Мне это нравится
"Me, too.",Я тоже.
Although they're usually wrong,Хотя обычно они ошибаются
"Yeah,","Да,"
"Georgia here, they're usually wrong too.","Здесь, в Джорджии, они тоже обычно ошибаются."
We have weird weather systems.,У нас странные погодные системы.
Uh-huh.,Угу.
"But, uh, like I say, as far as, as actually listening to the news, it's mostly T V, five o'clock to six thirty.","Но, э-э, как я уже сказал, что касается того, что на самом деле слушают новости, то в основном по телевизору, с пяти часов до половины седьмого."
"Uh, that seems like a long time for news","Э-э, похоже, для новостей прошло слишком много времени"
but that's how long it is.,но это так долго.
Yeah.,Да.
"And, uh, seems like they have the local news and they have the world news.","И, э-э, похоже, у них есть местные новости, и у них есть мировые новости."
Uh-huh.,Угу.
"And then, uh, my morning paper. I can hardly wait for it to come.","А потом, э-э, моя утренняя газета. Я с трудом могу дождаться, когда это произойдет."
Yeah.,Да.
"I'm  you know, I, I just, uh, I would,","Я, ты знаешь, я, я просто, э-э, я бы,"
"And, uh,","И, э-э-э,"
"I, I, I'm not a morning person","Я, я, я не утренний человек"
so I would begrudge the time it takes me in the morning to catch my morning news.,"поэтому я бы пожалел о времени, которое мне требуется по утрам, чтобы посмотреть утренние новости."
"I get up just barely in time to get up, get ready and get off to work","Я встаю едва-едва вовремя, чтобы встать, собраться и отправиться на работу"
and then at work  I have no time to read the news.,а потом на работе у меня нет времени читать новости.
Oh.,Ой.
"Yeah,","Да,"
right.,верно.
"Once you get to work, I wouldn't either,","Как только ты приступишь к работе, я бы тоже не стал,"
huh-uh.,ха-ха.
No,Нет
"But I've always been a morning person to get up, you know.","Но я всегда был любителем вставать по утрам, ты же знаешь."
Uh-huh.,Угу.
but I can't stay up late at night to watch the late news,"но я не могу засиживаться допоздна, чтобы посмотреть последние новости"
so I guess that's why I watch it at five o'clock,"так что, наверное, именно поэтому я смотрю его в пять часов"
Yeah.,Да.
"But anyhow. Well, listen, I guess that's about it then.","Но, как бы то ни было. Ну, послушай, тогда, я думаю, на этом все."
Okay.,Хорошо.
It's been nice talking to you Tony.,"Было приятно поговорить с тобой, Тони."
Nice talking to you.,Приятно было с тобой поговорить.
I'll probably talk to you again.,"Я, наверное, поговорю с тобой еще раз."
I had a friend who was in this,"У меня был друг, который был в этом"
and he said that he got calls from the same caller sometimes.,"и он сказал, что иногда ему звонил один и тот же абонент."
"Oh, really?","О, правда?"
Yeah.,Да.
"Oh, well that hasn't happened to me yet.","О, ну, со мной такого еще не случалось."
"So, you never know,","Так что, вы никогда не знаете наверняка,"
it might this time.,на этот раз это может случиться.
That's right.,Верно.
"Okay, Tony.","Ладно, Тони."
Take it easy.,Не принимайте это близко к сердцу.
Uh-huh.,Угу.
Bye-bye.,Пока-пока.
Bye-bye,Пока-пока
All rightie.,Все в порядке.
Okay.,Хорошо.
Do you have a budget that you go on?,"Есть ли у вас бюджет, на который вы идете?"
Yeah.,Да.
I sure do.,"Я уверен, что знаю."
"Uh, I have, it's pretty much a ledger sheet","Э-э, у меня есть, это в значительной степени бухгалтерская ведомость"
"and I just write down all my bills, how much I'm going to have to pay","и я просто записываю все свои счета, сколько мне придется заплатить"
and I do it per paycheck for me which is every other week.,"и я делаю это за свою зарплату, то есть раз в две недели."
Uh-huh.,Угу.
Uh-huh.,Угу.
"Uh, I mean I include everything from groceries to insurance to car payments to credit card payments, you know, everything.","Э-э, я имею в виду, что я включаю в себя все: от продуктов до страховки, от оплаты автомобиля до платежей по кредитным картам, вы знаете, все."
Uh-huh.,Угу.
And it tends to work out pretty well that way.,"И, как правило, таким образом все получается довольно хорошо."
"I can anticipate, you know, a little better.","Я могу предвидеть, знаете ли, немного лучшее."
I usually try to guesstimate,Обычно я стараюсь делать предположения
"and then when the bill actually comes in, I go ahead and fill in the actual amount.","а затем, когда счет действительно приходит, я продолжаю и указываю фактическую сумму."
"Uh-huh,","Ага,"
uh-huh.,угу.
That way I know how much pocket change I'm going to have left at the end of the month  or at the end of the paycheck anyway.,"Таким образом, я знаю, сколько мелочи у меня останется на карманные расходы в конце месяца или в любом случае в конце зарплаты."
"Uh-huh,","Ага,"
uh-huh.,угу.
Uh-huh,Ага
So that works okay for me.,Так что для меня это нормально работает.
Uh-huh.,Угу.
"Well, my bills I usually know approximately how much they're going to be.","Ну, что касается моих счетов, я обычно примерно знаю, сколько они будут стоить."
Right.,Верно.
"Each month they are more or less just about the same, you know.","Знаете, каждый месяц они более или менее примерно одинаковы."
"Uh-huh,","Ага,"
same here.,тоже самое.
"Uh, very seldom are they any different.","Э-э, очень редко они чем-то отличаются."
"And then, uh, like for groceries and everything, we try to put, like, two hundred and fifty dollars in a little can in the kitchen","А потом, ну, например, на продукты и все такое, мы стараемся положить примерно двести пятьдесят долларов в маленькую банку на кухне"
Uh-huh.,Угу.
and then that's what we use to buy the groceries with.,"и потом, это то, на что мы покупаем продукты."
"Oh, okay.","О, ладно."
"And then we put our receipts in there, you know,","А потом мы кладем туда наши квитанции, вы знаете,"
and usually that's enough.,и обычно этого достаточно.
Uh-huh.,Угу.
"And, uh, but I don't have any, you know, small children to have anything extra come up, you know, like, uh, running to the doctor or something like that with them.","И, э-э, но у меня нет, знаете ли, маленьких детей, чтобы придумать что-нибудь лишнее, ну, знаете, например, э-э, сбегать с ними к врачу или что-то в этом роде."
Right.,Верно.
Luckily I don't either.,"К счастью, я тоже этого не делаю."
"I mean, you know, maybe my cat would get sick","Я имею в виду, ты знаешь, может быть, моя кошка заболела бы"
"but, I mean, usually that's not so much that it would throw me off","но, я имею в виду, обычно это не настолько сильно, чтобы сбить меня с толку"
"Yeah,","Да,"
"yeah,","да,"
right.,верно.
"In fact, I did have to take my dog to the vet the other day","На самом деле, на днях мне действительно пришлось отвести свою собаку к ветеринару"
"But you so you know what I'm saying,","Но ты, чтобы ты знал, о чем я говорю,"
yeah.,да.
Yeah.,Да.
"that, it's worse than having a kid, huh?","это хуже, чем иметь ребенка, да?"
"I,","Я,"
sometimes it can be.,иногда это может быть так.
Yeah.,Да.
Sometimes it can be.,Иногда это может быть так.
I guess the worst thing I've ever had come out is like car maintenance kinds of things.,"Я думаю, самое худшее, что у меня когда-либо выходило, - это что-то вроде обслуживания автомобилей."
Uh-huh.,Угу.
"But I do try to build in a little extra money each month to, to be able to do that type of thing","Но я действительно стараюсь каждый месяц накапливать немного дополнительных денег, чтобы иметь возможность заниматься подобными вещами"
so.,так.
"Yeah,","Да,"
"uh, I'm not working right now.","э-э, я сейчас не работаю."
I worked for P I E,Я работал на P I E
"and then, uh, they went bankrupt","а потом, э-э, они обанкротились"
so I just went ahead and took my early pension.,так что я просто пошел дальше и досрочно вышел на пенсию.
Uh-huh.,Угу.
"Oh, uh-huh.","О, угу."
But I only get that once a month.,Но я получаю это только раз в месяц.
"Oh, that's tough.","О, это тяжело."
Yeah,Да
My roommate only gets paid once a month,Моему соседу по комнате платят только раз в месяц
and that last week's pretty lean generally speaking,"и что прошлая неделя, вообще говоря, была довольно скудной"
Yeah.,Да.
"So,","Так,"
so.,так.
Yeah.,Да.
"So, you know, I really have to try to budget, that I don't go over that amount, you know, each month.","Так что, вы знаете, мне действительно нужно стараться составлять бюджет, чтобы я не превышал эту сумму, знаете ли, каждый месяц."
Right.,Верно.
"I, for, for years got paid once a month",Мне в течение многих лет платили раз в месяц
"and, and in ways I liked it because I could go ahead and pay all my bills at once.","и в каком-то смысле мне это нравилось, потому что я мог пойти дальше и оплатить все свои счета сразу."
Uh-huh.,Угу.
"There's always one or two stragglers that usually they were,","Всегда есть один или два отставших, которыми обычно они были,"
for me it worked out that they were the smaller ones,"для меня так получилось, что они были самыми маленькими"
"Uh-huh,","Ага,"
uh-huh.,угу.
but I would pay all of them at one sitting,но я бы заплатил им всем за один присест
"and I would know okay, you can go spend this much on groceries now and you get this much a week and that is it.","и я бы знал, хорошо, ты можешь пойти и потратить столько-то на продукты сейчас, и ты получаешь столько-то в неделю, и все."
"Yeah,","Да,"
right.,верно.
"And, and it worked okay for me.","И, и у меня это сработало нормально."
Uh-huh.,Угу.
I don't know.,Я не знаю.
"And,","И,"
"Right now I, I'm in the mode of trying to dig out of debt, I think as everybody is","Прямо сейчас я, я нахожусь в состоянии, когда пытаюсь выпутаться из долгов, я думаю, как и все остальные"
"and so,","и так,"
"Oh, yeah.","О, да."
Right now it's terrible isn't it?,"Прямо сейчас это ужасно, не так ли?"
"It's, yeah, it's really bad.","Это, да, это действительно плохо."
Yeah.,Да.
"But, uh, it's going pretty well","Но, э-э, все идет довольно хорошо"
"and I've got a real good plan mapped out here,","и у меня здесь наметился действительно хороший план,"
so.,так.
Uh-huh.,Угу.
I also like long-term Christmas club you know.,"Знаете, мне также нравится долгосрочный рождественский клуб."
"I used to belong to a Christmas club,","Раньше я состоял в рождественском клубе,"
last year I didn't.,в прошлом году я этого не делал.
Uh-huh.,Угу.
"Then, so then, naturally, Christmas comes along","А потом, так потом, естественно, наступает Рождество"
"and that puts you behind too, you know.","и это тоже оставляет тебя позади, ты знаешь."
"So this year, now I have them taking out fifty dollars a month out of my  checking account for my Christmas club.",Так что в этом году теперь они снимают пятьдесят долларов в месяц с моего текущего счета для моего рождественского клуба.
"Oh that's,","О, это,"
Yeah.,Да.
"So I figure, you know, that's going to help some.","Так что я полагаю, вы знаете, это некоторым поможет."
That'll cover your gifts come Christmas time.,Это покроет ваши подарки на Рождество.
"That'll,","Это будет,"
"yeah,","да,"
"Yeah,","Да,"
"right, you know.","верно, ты знаешь."
"That'll be good,","Это будет хорошо,"
yeah,да
"most people are spending three or four months you know, at least, digging out after Christmas","большинство людей тратят, знаете ли, по меньшей мере три-четыре месяца на то, чтобы выкапывать землю после Рождества"
so.,так.
"Right,","Правильно,"
right.,верно.
And I'm,И я
"Yeah,","Да,"
"I, I was pretty fortunate this Christmas","Мне, мне очень повезло в это Рождество"
"I didn't get in debt,","Я не влезал в долги,"
so.,так.
"Oh, that's good.","О, это хорошо."
"I'm taking like, uh, sewing lessons to try to learn how to sew better than what I can","Я беру что-то вроде уроков шитья, чтобы попытаться научиться шить лучше, чем я умею"
Uh-huh.,Угу.
so I won't have to go out and buy the ready-made clothes anymore.,так что мне больше не придется ходить и покупать готовую одежду.
"Oh, uh-huh.","О, угу."
It's so rare,Это такая редкость
you hear anybody doing that any longer,"ты слышишь, чтобы кто-нибудь еще так делал"
I know.,Я знаю.
"I even bought myself a Surgery , you know,","Знаешь, я даже купил себе операцию,"
and I just love it.,и мне это просто нравится.
I haven't learned everything to do on it yet,"Я еще не научился всему, что с ним нужно делать"
but I figure that will help me save you know.,"но я полагаю, что это поможет мне спасти тебя, знаешь ли."
Yeah.,Да.
"My, uh, roommate does sew some","Моя, э-э, соседка по комнате кое-что шьет"
"and, and, uh, she hasn't sewed anything in a long time","и, и, э-э, она уже давно ничего не шила"
"but I, I'm sure that she could pick it up again.","но я, я уверен, что она могла бы снова взяться за это дело."
My mother always sewed.,Моя мама всегда шила.
She tried to teach me when I was young but not interested,"Она пыталась учить меня, когда я был маленьким, но ей это не было интересно"
Uh-huh.,Угу.
Yeah.,Да.
"Well, see, some people are, some aren't","Ну, видишь ли, некоторые люди такие, некоторые нет"
"because  I have some sisters, I have three sisters","потому что у меня есть несколько сестер, у меня есть три сестры"
Yeah.,Да.
and none of those are really interested in sewing.,и никто из них на самом деле не интересуется шитьем.
Yeah.,Да.
"But that's a real good way to save money, though by doing that.","Но это действительно хороший способ сэкономить деньги, хотя и делая это."
"Yeah,","Да,"
"and then I can also, you know, do some crafts and sell those at garage sales.","а еще я могу, знаете ли, сделать кое-какие поделки и продавать их на гаражных распродажах."
"Uh-huh,","Ага,"
uh-huh.,угу.
"So, which I've been doing.","Итак, что я и делал."
"Well, that's a good way to, to make a little extra money.","Что ж, это хороший способ немного подзаработать."
Uh-huh.,Угу.
"Well, this is another way that I'm making a little extra money","Что ж, это еще один способ, которым я зарабатываю немного больше денег"
"so that was, you know, nice that I tripped over this opportunity","так что, знаете, было приятно, что я упустил эту возможность"
and you're actually my first call.,и на самом деле ты мой первый звонок.
"Oh, really?","О, правда?"
Yeah.,Да.
Oh.,Ой.
"I had not, uh, done",Я не... э-э-э... сделал
"I, I guess today  today's my first day that I could  even do it.","Я, я думаю, сегодня мой первый день, когда я вообще смог это сделать."
"Well, have you called?","Ну что, ты звонил?"
Oh.,Ой.
"Oh, it is?","О, это так?"
"Yeah,","Да,"
"you beat me to the punch, here","ты опередил меня в ударе, вот"
"Oh, well, that, that's nice you know.","О, ну, это, это приятно, ты знаешь."
"I, I was about to call to get, to see if I could get on with somebody,","Я, я как раз собирался позвонить, чтобы узнать, смогу ли я с кем-нибудь поладить,"
so,так
Uh-huh.,Угу.
so that was great.,так что это было здорово.
Yeah.,Да.
Well I guess that's about all I can talk to about budgets.,"Ну, я думаю, это почти все, с кем я могу поговорить о бюджетах."
"When I was working, I, uh, bought a bond a month out of my, you know,","Когда я работал, я, э-э, покупал облигации на месяц из своих, вы знаете,"
they automatically took it out of my  out of my payroll.,они автоматически вычли это из моей зарплаты.
Yeah.,Да.
Yeah.,Да.
"I take, have some money taken it and put in a Four Oh One K,","Я беру, у меня есть немного денег, забираю их и кладу в четыре О Один К,"
"So, what sort of car are you interested in getting next?","Итак, какую машину вы хотели бы приобрести в следующий раз?"
"Well, actually, I love the car I have.","Ну, на самом деле, мне нравится машина, которая у меня есть."
I have a Chrysler LeBaron convertible.,У меня есть Крайслер Лебарон с откидным верхом.
And  I love it.,И мне это нравится.
Ah.,Ах.
And I would get another one in a minute.,И я бы получил еще один через минуту.
"Unless I could afford what I really like which would be a red Ferrari or, you know, a little Corvette or something like that.","Если только я не смогу позволить себе то, что мне действительно нравится, например, красный Ferrari или, знаете, маленький Corvette или что-то в этом роде."
And that's what would influence my decision to change because I like a really sporty car.,"И это то, что повлияло бы на мое решение измениться, потому что мне нравится по-настоящему спортивная машина."
And I'd love an expensive one,И я бы хотела что-нибудь дорогое
"but I probably,  can never afford it","но я, наверное, никогда не смогу себе этого позволить"
so,так
"Uh, well I understand and can sympathize with that because I also enjoy driving performance automobiles.","Э-э, ну, я понимаю и могу посочувствовать этому, потому что мне также нравится водить автомобили с высокими эксплуатационными характеристиками."
"Uh, I currently have an eighty-seven, five liter Mustang G T that I've done a bunch of modifications to, to make it, uh, handle and perform better,","Э-э, в настоящее время у меня восьмидесятисемилетний пятилитровый Mustang G T, в который я внес кучу модификаций, чтобы он, э-э, лучше управлялся и работал,"
Uh-huh.,Угу.
"and I suspect if I were to be able to get another car where object was, uh,","и я подозреваю, что если бы я смог достать другую машину, где был объект, э-э,"
"the best car I could get regardless of money, uh, I probably would be tempted by something along the lines of a Lotus or possibly a Ferrari.","лучшая машина, которую я мог бы получить, независимо от денег, э-э, я, вероятно, соблазнился бы чем-то вроде Lotus или, возможно, Ferrari."
Uh-huh.,Угу.
Yeah.,Да.
"Well, I'm a nurse here","Ну, я здесь медсестра"
and we have a doctor at this hospital that has a beautiful new red Ferrari.,"и у нас в больнице есть врач, у которого есть красивый новый красный ""Феррари""."
"A, a three twenty-eight G T S?","А, а три двадцать восемь G T S?"
And I couldn't tell you,И я не мог сказать тебе
but it's just beautiful.,но это просто прекрасно.
And I go out and I love to touch it,"И я выхожу на улицу, и мне нравится прикасаться к нему"
but I can't even do that because of the alarm.,но я даже этого не могу сделать из-за сигнализации.
You just go hunting?,Ты просто ходишь на охоту?
"So, I just look at it a lot",Так что я просто часто смотрю на это
Go out and lust after it.,Выйди на улицу и возжелай этого.
Really,Действительно
Exactly.,Точно.
But it sure is a pretty thing,"Но это, конечно, красивая вещь"
So have you had the opportunity to drive a Ferrari?,"Итак, была ли у вас возможность покататься на Ferrari?"
No.,Нет.
I'm working on it,Я работаю над этим
"No,","Нет,"
"I really haven't,","Я действительно не,"
"no,","нет,"
huh-uh,ха-а-а
I did  test drive a Corvette last year. Maybe the year before.,"В прошлом году я провел тест-драйв Corvette. Может быть, за год до этого."
"It was brand new, white,","Он был совершенно новый, белый,"
it was like a big marshmallow.,это было похоже на большой зефир.
"When you sat in the seats, they adjusted to fit around you.","Когда вы садились на сиденья, они подстраивались под вас."
uh.,ух.
I mean they came in and up and out,"Я имею в виду, что они входили, поднимались и выходили"
"and I mean, they did whatever","и я имею в виду, они делали все, что"
"and, and we went for a test drive in that","и, и мы отправились на тест-драйв в этом"
and I was able to open that up pretty good,и я смог довольно хорошо раскрыть это
and that was really fun.,и это было действительно весело.
"And I wanted it,","И я хотел этого,"
but I had a choice of that or my house,но у меня был выбор: это или мой дом
"and I thought that I'd continue,  to live in my house","и я думал, что буду продолжать жить в своем доме"
so.,так.
"Yeah,","Да,"
"there, there's something about having a place to live,","в этом есть что-то особенное в том, чтобы иметь место для жизни,"
I don't know.,Я не знаю.
"Yeah,","Да,"
"you know, it's just necessary.","ты знаешь, это просто необходимо."
"And I did, I thought well a tent wouldn't be bad but probably not practical.","И я так и сделал, я подумал, что палатка была бы неплоха, но, вероятно, непрактична."
Could sleep in the back of the 'vette.,"Мог бы спать на заднем сиденье ""ветки""."
"Yeah,","Да,"
right,право
"So,","Так,"
"I find that, uh, that the Corvettes are, are becoming really, really nice cars.","Я нахожу, что, э-э, что корветы становятся действительно, действительно хорошими автомобилями."
"They are, they're pretty aren't they lately","Они, они хорошенькие, не так ли в последнее время"
Yeah.,Да.
"And  they, they've improved, the performance and the suspension such that they're actually a lot of fun to drive.","И они, они улучшили производительность и подвеску так, что управлять ими на самом деле очень весело."
They really are.,Они действительно такие.
Really.,Действительно.
"It's not like driving a, a Winnebago or something.","Это не то же самое, что водить ""Виннебаго"" или что-то в этом роде."
"Oh, no","О, нет"
"No,","Нет,"
no.,нет.
"See, I'm not into station wagons and vans and things that people are really buying now","Видите ли, я не увлекаюсь универсалами, фургонами и прочими вещами, которые люди сейчас действительно покупают"
and they go isn't that a nice van,"и они говорят, разве это не хороший фургон"
"and I go, um.","и я иду, эм."
"Not really, you know.","Не совсем, ты знаешь."
How about  a Greyhound bus,"Как насчет автобуса ""Грейхаунд"""
Nice.,Милый.
Yeah.,Да.
Nice isn't the word I'd choose.,"Приятный - это не то слово, которое я бы выбрал."
Maybe practical.,"Может быть, практично."
Yeah.,Да.
"I mean that, you know.","Я имею в виду это, ты знаешь."
Isn't that a practical van.,Разве это не практичный фургон?
There's some that are prettier than others,"Есть некоторые, которые красивее других"
and,и
"yeah,","да,"
"the new type is prettier than what their, they used to look like","новый тип красивее, чем тот, на который они были похожи раньше"
"but I sure don't think it's attractive, you know.","но, знаешь, я точно не думаю, что это привлекательно."
"It's not like, like driving a little sports car.",Это не похоже на вождение маленькой спортивной машины.
Yeah.,Да.
"It, it's very hard to find something practical that's also attractive.","Это, очень трудно найти что-то практичное, которое было бы еще и привлекательным."
Yeah.,Да.
I don't think that happens,"Я не думаю, что такое случается"
"so, but I, I love mine,","так что, но я, я люблю свою,"
"so, and I, I bought it because I drove a friend's in Hawaii","итак, и я, я купил его, потому что ездил на машине друга на Гавайи"
and I just went home,и я просто пошел домой
and I walked in,и я вошел
and I picked it out,и я выбрал это
"and he said take it home and bring it back if you want to,","и он сказал, забери это домой и принеси обратно, если хочешь,"
and I never did.,и я никогда этого не делал.
I just went back and signed the papers,Я просто вернулся и подписал бумаги
and I knew nothing about my car when I got it.,"и я ничего не знал о своей машине, когда получил ее."
Nothing.,Ничего.
I didn't know how anything worked.,"Я не знал, как что-либо работает."
"Well, so it was a completely new experience for you.","Что ж, значит, для вас это был совершенно новый опыт."
And I'm sure you enjoyed every minute of it.,"И я уверен, что вы наслаждались каждой минутой этого."
Yeah.,Да.
"And I've had it,","И с меня это хватит,"
it's almost three years actually.,на самом деле прошло почти три года.
"And I've, I still love it.","И я, я все еще люблю это."
I put the top down everywhere I go.,"Я опускаю крышку, куда бы ни пошел."
I timed it when I first got it,"Я рассчитал время, когда впервые получил его"
and it took twenty I mean twenty seconds,и это заняло двадцать я имею в виду двадцать секунд
"and so, I figured there was nowhere I was to late to go that I didn't have twenty more seconds.","и вот, я решил, что мне некуда опаздывать, чтобы пойти, что у меня нет еще двадцати секунд."
Right.,Верно.
So.,Так.
"And, and you couldn't get,","И, и ты не смог получить,"
how long does it take to go back up? About the same time.,"сколько времени требуется, чтобы вернуться наверх? Примерно в то же время."
"Twenty seconds,","Двадцать секунд,"
yeah.,да.
That's all it takes.,"Это все, что для этого требуется."
"I mean, it's just a button, that's it.","Я имею в виду, это просто кнопка, вот и все."
"You  release it right at the top,","Вы отпускаете его прямо наверху,"
"Yeah,","Да,"
so,так
so you don't have to  get out or anything.,так что тебе не нужно выходить или что-то в этом роде.
"So you won't get,","Так что вы не получите,"
Yeah,Да
and twenty seconds you probably won't get caught in anything too substantial.,"и через двадцать секунд вы, вероятно, не попадетесь ни на чем слишком существенном."
"Well I did, actually.","Ну, вообще-то, я так и сделал."
"Last week going to the airport,","На прошлой неделе собирался в аэропорт,"
I just hit a downpour,Я только что попал под ливень
and I was on a highway going like eighty.,и я ехал по шоссе со скоростью восемьдесят миль в час.
So I really did.,Так что я действительно сделал.
I mean I was soaking wet.,"Я имею в виду, что я была насквозь мокрой."
I thought I would drown in the seconds that it took me to pull over,"Я думал, что утону за те секунды, которые потребовались мне, чтобы съехать на обочину"
Whoops.,Упс.
"But it all dried out, you know. Didn't  take long when the sun came out","Но все это высохло, ты же знаешь. Это не заняло много времени, когда выглянуло солнце"
Yeah.,Да.
but it was kind of funny.,но это было в некотором роде забавно.
I'm sure people around me really enjoyed it,"Я уверен, что людям вокруг меня это действительно понравилось"
"but,","но,"
Oh. No I was just down in Austin last week,"Ой. Нет, я просто был в Остине на прошлой неделе"
and the weather was pretty nice too.,и погода тоже была довольно приятной.
"So,","Так,"
Oh,О
"and wasn't it pretty last week with the Bluebonnets and everything,","и разве на прошлой неделе не было красиво с синими шляпками и всем прочим,"
"yeah,","да,"
yeah.,да.
"With the Bluebonnets out,","С вынутыми синими шляпками,"
yeah.,да.
It really was.,Это действительно было так.
Yeah,Да
I decided that Austin is certainly someplace that I could handle living.,"Я решил, что Остин - это, безусловно, то место, с которым я мог бы справиться, живя."
is Yeah.,это да.
A lot of people say that,"Многие люди говорят, что"
and it's pretty far from where I live,"и это довольно далеко от того места, где я живу"
I'm ready if you are.,"Я готов, если ты готов."
Okay.,Хорошо.
"Um, where do you stand, uh, on,","Эм, на чем ты стоишь, эм, на,"
"Well, I think that people should be allowed to have them.","Что ж, я думаю, что людям должно быть позволено иметь их."
"Especially  if they go hunting,","Особенно если они отправляются на охоту,"
Oh.,Ой.
which my son goes hunting.,на который мой сын ходит охотиться.
He goes deer hunting.,Он ходит охотиться на оленей.
He goes duck hunting.,Он ходит на утиную охоту.
"Uh, he's read books about guns since he was like probably eleven or twelve years old.","Э-э, он читал книги об оружии с тех пор, как ему было, наверное, одиннадцать или двенадцать лет."
Uh-huh.,Угу.
Uh-huh.,Угу.
"And I just think that, uh, as far as that's concerned, he should be able to have them to go hunting with, you know.","И я просто думаю, что, э-э, что касается этого, он должен иметь возможность брать их с собой на охоту, вы знаете."
"As far as  just having handguns around to, to have them, I don't believe that you should have handguns around.","Что касается просто наличия пистолетов под рукой, чтобы иметь их, я не верю, что вам следует иметь пистолеты под рукой."
"Right,","Правильно,"
right.,верно.
Right.,Верно.
Yeah.,Да.
"Yeah,","Да,"
"yeah,","да,"
I agree too.,Я тоже согласен.
"I, uh,","Я, э-э,"
"it's, it's, as far as the ban goes and everything, I don't think it's possible, uh, to completely ban guns.","это, это, что касается запрета и всего остального, я не думаю, что возможно, э-э, полностью запретить оружие."
There's just too many.,Их просто слишком много.
"Well, no.","Ну, нет."
"There's too many sports people out there that, that do do these things.","На свете слишком много спортивных людей, которые действительно занимаются подобными вещами."
"Right,","Правильно,"
"and I,","и я,"
"yeah,","да,"
"right,","право,"
"I mean,","Я имею в виду,"
"yeah,","да,"
"that, that's true.","это, это правда."
"And I mean the, the technology's not that hard.","И я имею в виду, что технология не так уж сложна."
"I mean, you could make a gun, you know, from simple, you know, you know.","Я имею в виду, вы могли бы сделать пистолет, ну, знаете, из простого, ну, вы знаете."
