en,ru
My dream is to be a Photographer?,Моя мечта - стать фотографом?
Seriously freaking out!! Can a freshman with no experience make girls JV soccer team?,Серьезно волнуюсь!! Может ли первокурсница без опыта попасть в женскую совместную футбольную команду?
"i have some questions about the book ""the giver""?","у меня есть несколько вопросов по книге ""Дающий""?"
Who has seen the anime Noir? If you want to answer...?,Кто видел аниме Нуар? Если вы хотите ответить...?
Egypt The word Rabena?,Что такое слово Рабена?
Where do hot teenage guys hang out in San Francisco?,Где в Сан-Франциско тусуются горячие парни-подростки?
Why do the Armed forces use 24-hour time and not 12-hour time?,"Почему Вооруженные силы используют 24-часовое время, а не 12-часовое?"
Do Libs understand Why this country was founded on the basic principal of Limited Government?,"Понимают ли либералы, почему эта страна была основана на основном принципе ограниченного правительства?"
Is a nintendo wii worth buying?,Стоит ли покупать nintendo wii?
Anyone hear about the mom auctioning off the right to name her baby on eBay?,"Кто-нибудь слышал о маме, выставляющей на аукцион право назвать своего ребенка на eBay?"
Would Eunice Kennedy Shriver's life been prolonged under Obamacare?,Продлилась бы жизнь Юнис Кеннеди Шрайвер в рамках программы Obamacare?
Should I call her or play it cool?,Должен ли я позвонить ей или вести себя спокойно?
where can i get an oversized BROWN tote or big messenger bag online except for ebay?,"где я могу купить негабаритную коричневую сумку-тоут или большую курьерскую сумку онлайн, кроме ebay?"
Why is this math so hard to figure out?,Почему в этой математике так трудно разобраться?
What are some really good movies from 2009?,Назовите несколько действительно хороших фильмов 2009 года?
is astrology the real 'religion'?,"является ли астрология настоящей ""религией""?"
My mom won't let me buy makeup?,Моя мама не разрешает мне покупать косметику?
Can common goldfish live with the fancies?,Может ли обычная золотая рыбка смириться с подобными фантазиями?
Nokia 6300 PUK code needed. Urgent help needed!?,Необходим PUK-код Nokia 6300. Нужна срочная помощь!?
is anybody excited for the cirque du freak movie?,"кто-нибудь в восторге от фильма ""Цирк уродов""?"
Where can I find the cheapest alpha black basic with e grip?,Где я могу найти самый дешевый alpha black basic с e grip?
Help! i have a science question for my homework idk its due tomorrow!?,"Помогите! у меня есть научный вопрос для моего домашнего задания idk, его нужно сдать завтра!?"
i want to get a bird But I have a question?,"я хочу поймать птицу, но у меня есть вопрос?"
How prestigious is the University of kingston?,Насколько престижен Кингстонский университет?
Is it ok to put mayo olive oil and avacodo in your hair?,Можно ли намазывать волосы оливковым маслом майонез и авакодо?
Is it safe to state that the majority of wars in the 21st Century have Muslims on one side of the conflict?,"Можно ли с уверенностью утверждать, что в большинстве войн 21 века мусульмане находятся на одной стороне конфликта?"
Is Doomsday 2012 really gonna happen?,Действительно ли случится Конец света 2012?
Why are people bringing loaded firearms to townhall meetings are they pushing buttons trying to pick a fight?,"Почему люди приносят заряженное огнестрельное оружие на собрания в ратуше, они нажимают на кнопки, пытаясь затеять драку?"
GIRLS what happened to casual dating?,"ДЕВОЧКИ, что случилось со случайными свиданиями?"
Atheists: Okay so I was in church today (a very rare occasion) and the guy was talking about?,"Атеисты: Хорошо, итак, я был сегодня в церкви (очень редкий случай), и парень говорил о?"
i just took my hpt maybe i was too anguish!?,"я только что принял свой hpt, может быть, я был слишком мучителен!?"
Does anybody else feel dizzy 24/7 and often feel as if they are going to frequently pass out?,"Кто-нибудь еще испытывает головокружение 24/7 и часто чувствует, что вот-вот потеряет сознание?"
Is it wrong to take a near two year old to McDonald's a couple of times a month?,Разве это неправильно - водить почти двухлетнего ребенка в McDonald's пару раз в месяц?
awkward immature flirting moments in class with a guy...(guys opinions prefered)?,неловкие моменты незрелого флирта в классе с парнем...(предпочтительны мнения парней)?
whre can i download wall e fastly and quickly without getting a premium account?,как я могу быстро скачать wall e без получения премиум-аккаунта?
how do you clean outside brass rail?,как вы чистите наружную латунную рейку?
I need some advice on a perfect movie?,Мне нужен совет по поводу идеального фильма?
How do I get my body  back after giving birth?,Как мне вернуть свое тело после родов?
factoring polynomials?,разложение многочленов на множители?
What is your ONE favourite full name for a boy and girl?,Какое ваше любимое полное имя для мальчика и девочки?
how do i remove a cif lemon  cream stain off my bed sheets  (they are cotton i think)?,"как мне удалить пятно от лимонного крема cif с моих простыней (по-моему, они хлопчатобумажные)?"
"what are the jobs of BE civil engineers ME structural engineers and BE+MBA (construction management)?""?","каковы рабочие места BE civil engineers, инженеров-строителей и BE+MBA (управление строительством)?""?"
isnt my mum being totally ungrateful?,разве моя мама не ведет себя совершенно неблагодарно?
Are you team Edward or team Jacob?,Вы команда Эдварда или команда Джейкоба?
Popular baby names from around the world - you like?,Популярные детские имена со всего мира - вам нравится?
Is it possible to view the Data from a HDD through USB?,Можно ли просмотреть данные с жесткого диска через USB?
Song or quote about moving on getting a fresh start breaking away (not breaking up) from something holding..?,"Песня или цитата о том, как двигаться дальше, начинать все сначала, отрываясь (не расставаясь) от чего-то, что удерживает..?"
What are your ocd rituals/ compulsions?,Каковы ваши ритуалы / принуждения при ОКР?
guys do u think this is creepy? honesttttt?,"ребята, вы думаете, это жутко? честностьтттт?"
"How would one say ""The Art of Design"" in Latin?","Как бы по-латыни сказать ""Искусство дизайна""?"
What's the difference between the Ti Nspire and the Ti Nspire CAS?,В чем разница между Ti Nspire и Ti Nspire CAS?
Something Is going on in my head and I can't exactly figure out what it is.?,"Что-то происходит у меня в голове, и я не могу точно понять, что это.?"
I have a A7V400MX asus motherboard i want to upgrade my RAM... Whats the biggest size i can use?,"У меня есть материнская плата asus A7V400MX, я хочу обновить свою оперативную память... Какой самый большой размер я могу использовать?"
I want to quit my job. Can I support my family and live on internet as a sole means of survival?,Я хочу уволиться со своей работы. Могу ли я содержать свою семью и жить в Интернете как единственном средстве выживания?
How do you make new friends?,Как вы заводите новых друзей?
Should drinking alcohol be banned in South Africa?,Следует ли запретить употребление алкоголя в Южной Африке?
what color do u mix with pink..to get yellow?,с каким цветом вы смешиваете pink..to стать желтым?
Free photo software to reduce exposure?,Бесплатное программное обеспечение для фотосъемки для уменьшения экспозиции?
I am growing tomatos in buckets and they are splitting open and have tough skins.What am I doing wrong?,"Я выращиваю помидоры в ведрах, и они раскалываются, и у них жесткая кожица.Что я делаю не так?"
Question about Japanese culture?,Вопрос о японской культуре?
Rat Gnawing His Fingers?,"Крыса, грызущая Его Пальцы?"
Where can you catch houndour in pokemon Soul Silver?,Где вы можете поймать хаундура в pokemon Soul Silver?
Dont people like this annoy you?,Разве такие люди тебя не раздражают?
I am looking for a translation from English to Scot gaelic?,Я ищу перевод с английского на шотландско-гэльский?
Find the slope of x + y = 7 ?,Найти наклон x + y = 7?
YuGiOh: Are Bakura's eyes blue or brown?,Юджио: У Бакуры глаза голубые или карие?
i 'm a new internet user.sometime Mozilla fire fox close its operation for security reason .what should i do?,я новый пользователь Интернета. когда-нибудь Mozilla fire fox закроет свою работу по соображениям безопасности.что я должен делать?
what is tampax -----------?,что такое тампакс -----------?
Im a little bit over weight and i was wondering...?,"Я немного прибавил в весе, и мне было интересно...?"
How do I put downloaded video clips onto my iPhone?,Как мне поместить загруженные видеоклипы на свой iPhone?
can i put any add ons besides PCIe 2 x 16?,"могу ли я установить какие-либо дополнения, кроме PCIe 2 x 16?"
What cosmetics do you suggest (MAC)?,Какую косметику вы предлагаете (MAC)?
when does the new season of inuyasha premiere?,"когда состоится премьера нового сезона ""инуяши""?"
How does it feel to have aborted your baby due to teenage pregnancy?,Каково это - сделать аборт своему ребенку из-за подростковой беременности?
How long do i have to wait to get an American Passport?,"Как долго мне нужно ждать, чтобы получить американский паспорт?"
There was something in my Processes called xbhno.exe any one know what it is?,"В моих процессах было что-то, называемое xbhno.exe кто-нибудь знает, что это такое?"
What is a good place to sell  used DVDs in Edmonton  Alberta?,"Какое хорошее место для продажи подержанных DVD-дисков в Эдмонтоне, Альберта?"
MY CHEST IS TIGHT AND I CANT BREATHE WHAT DO I DO?,"У МЕНЯ СДАВИЛО ГРУДЬ, И Я НЕ МОГУ ДЫШАТЬ, ЧТО МНЕ ДЕЛАТЬ?"
From this picture....?,С этой фотографии....?
Girls would you date a guy?,"Девочки, вы бы стали встречаться с парнем?"
does lemon juce get rid of athlete's foot?,помогает ли лимонный сок избавиться от стопы спортсмена?
my computer will not recognize my iPhone anymore?,мой компьютер больше не распознает мой iPhone?
oil pump on my d16y8 Help?! Please?,масляный насос на моем d16y8 поможет?! Пожалуйста?
is there a way to decaffeinate a caffeinated tea bag?,есть ли способ обеззаразить чайный пакетик с кофеином?
moving out contract. unsure if I can move out with 28 days notice or I must stay til end of lease. Please help?,"расторгающий контракт. не уверен, могу ли я съехать с уведомлением за 28 дней или я должен остаться до окончания срока аренды. Пожалуйста, помогите?"
Is there any way that you can make screens on the patio so you can see out and no one can see in?,"Есть ли какой-нибудь способ сделать ширмы во внутреннем дворике, чтобы вы могли видеть снаружи, а никто не мог заглянуть внутрь?"
geometry a paralleogram is always or never a square?,геометрия параллелограмм всегда или никогда не является квадратом?
How clear would a Blu-Ray DVD player be on a 37 inch 1080i HDTV?,Насколько четким будет воспроизведение Blu-Ray DVD на 37-дюймовом HDTV с разрешением 1080i?
how do i relate populism to wizard of oz?,"как я соотношу популизм с ""волшебником страны Оз""?"
Who filmed Neil Armstrong's first step on the moon?,"Кто снимал ""Первый шаг Нила Армстронга на Луну""?"
Anybody who can help me with physics?,"Кто-нибудь, кто может помочь мне с физикой?"
Are ther any athiest women on dating websites as all I find are religious ones who wont date an athiest?,"Есть ли какие-нибудь самые атеистичные женщины на сайтах знакомств, поскольку все, что я нахожу, - это религиозные женщины, которые не будут встречаться с самыми атеистичными?"
I Need help with jigsaw costume?,Мне нужна помощь с костюмом паззла?
what is the meaning of proverbs 9:6?,в чем смысл притчей 9:6?
I'm moving will it ruin my relationship?,"Я переезжаю, разрушит ли это мои отношения?"
Why is Hillary nowhere to be seen or heard on Afghanistan or 0bamacare?,Почему Хиллари нигде не видно и не слышно по Афганистану или 0bamacare?
My resume is 3 pages - all with pertinent info.  Is this too long?  Will the person hiring really read it?,"Мое резюме состоит из 3 страниц - все с соответствующей информацией.  Это слишком долго?  Действительно ли человек, принимающий на работу, прочитает это?"
remember how in stephen king's carrie she...?,"помните, как в ""Кэрри"" Стивена Кинга она...?"
what's the meaning of 'celebs'?,"что означает слово ""знаменитости""?"
Is there more to the purpose of God in saving manOR is saving man the means through which the purpose of God?,"Есть ли что-то большее в Божьей цели спасения человека или спасение человека - это средство, с помощью которого достигается Божья цель?"
Gas companies and car companies?,Газовые компании и автомобильные компании?
Im 16 and have muscle twitching?,"Мне 16, и у меня подергиваются мышцы?"
How to get a black faded hat back to original color?,Как вернуть черной выцветшей шляпе первоначальный цвет?
Teens: What is your favourite song right now?,Подростки: Какая ваша любимая песня прямо сейчас?
How do i get started on publishing?,Как мне приступить к публикации?
best place to buy cheap anime?,"лучшее место, где можно купить дешевое аниме?"
I need dessert and wine suggestions....?,Мне нужны предложения по десерту и вину....?
TV brandwhich is better element or phillips?,"Телевизионный бренд, который лучше element или phillips?"
How do I shorten a song?,Как мне сократить песню?
What should I do about this?,Что мне следует с этим делать?
What macromolecule is made of amino acids?,Какая макромолекула состоит из аминокислот?
Radium Ra-226 undergoes alpha decay. What is the product?,Радий Ra-226 подвергается альфа-распаду. Что это за продукт?
Would ye get back with an ex who cheated?,"Ты бы вернулась к бывшему, который изменил?"
Can someone explain Organic Reactions to me?,Может кто-нибудь объяснить мне органические реакции?
Does anyone else love when two guys makeout with each other!?!?,"Кому-нибудь еще нравится, когда два парня целуются друг с другом!?!?"
I Need Help With Final Fantasy Tactics Advance?,Мне нужна помощь с Final Fantasy Tactics Advance?
Does anyone have the new Samsung Alias cell phone?,Есть ли у кого-нибудь новый мобильный телефон Samsung Alias?
Christmas vacation ideas?,Идеи для рождественских каникул?
Why with grief can't you just be sad and get it out why does it have to come in waves?,"Почему, испытывая горе, ты не можешь просто погрустить и выплеснуть его наружу, почему оно должно накатывать волнами?"
Why do anti feminists MRAs or masculinists see women as traitors?,Почему антифеминистки MRA или маскулинисты считают женщин предательницами?
BREAKKFAST FOR A GOOD LEARNING DAY?,"ПЕРЕКУСИТЕ, ЧТОБЫ ХОРОШО ПРОВЕСТИ УЧЕБНЫЙ ДЕНЬ?"
When naming hydrocarbons how do you know which alkyl group (methyl ethyl or propyl) should be used?,"При наименовании углеводородов как вы узнаете, какую алкильную группу (метилэтил или пропил) следует использовать?"
cricket wireless internet keeps saying connection failed?,беспроводной интернет cricket продолжает сообщать о сбое соединения?
how to compress an mp4 file so that it will send on the mobile?,"как сжать файл mp4 так, чтобы он был отправлен на мобильный?"
What is the best cyramic hair straightner? Price doesn't matter...?,Какой самый лучший выпрямитель для волос cyramic? Цена не имеет значения...?
my bf loves me and want to have sex but we will not get married because of some reason .  should i go for it ?,"мой парень любит меня и хочет заняться сексом, но мы не поженимся по какой-то причине.  должен ли я пойти на это?"
What can or should mean?,Что может или должно означать?
the moore theater in seattle best parking?,лучшая парковка у театра Мура в Сиэтле?
Have anyone used the editing service Scribendi?,Кто-нибудь пользовался сервисом редактирования Scribendi?
What do you think of the beginning of my story?,Что вы думаете о начале моей истории?
i need a good survey site that pays straight up cash with out a whole process to make soe xtra cash. no bs?,"мне нужен хороший сайт для проведения опросов, который платит наличными напрямую, без целого процесса получения soe xtra cash. никаких ""бс""?"
question about wife abuse?,вопрос о жестоком обращении с женой?
5/12 + 3/8  Write your answer as a fraction in simplest form.?,5/12 + 3/8 Запишите свой ответ в виде дроби в простейшей форме.?
have you learned your lesson yet?,ты уже усвоил свой урок?
Which of the following is not a function of the mitotic cell cycle in eukaryotes?,Что из перечисленного не является функцией митотического клеточного цикла у эукариот?
i want to make friends no one like to be my friend?,"я хочу завести друзей, никому не нравится быть моим другом?"
hey which rifle would be the best?,"эй, какая винтовка была бы лучшей?"
would you consider this a period? (tmi)?,считаете ли вы это периодом? (tmi)?
does a gay guy feel like a women when he has sex?,"чувствует ли гей себя женщиной, когда занимается сексом?"
what is the best project car for begginers?,какой проектный автомобиль лучше всего подходит для начинающих?
Which disease is more deadly Anorexia Nervosa or Asthma?,Какое заболевание более смертельно - нервная анорексия или астма?
my five month old puppy has signs that something is wrong.:(?,"у моего пятимесячного щенка есть признаки того, что что-то не так.:(?"
is willow bark the same as salicylic acid?,"является ли кора ивы тем же самым, что и салициловая кислота?"
how to i make my hair curly with lets jam?,как мне сделать волосы вьющимися с помощью lets jam?
how many times max one can masturbate in a day?......?,сколько раз максимум можно мастурбировать в день?......?
A Cop who decides to stalk a car at 2am for no reason.?,"Полицейский, который решает преследовать машину в 2 часа ночи без всякой причины.?"
Ipod Touch - what is the difference ....?,Ipod Touch - в чем разница....?
Spiritually speaking If Thor and Jesus went to lunch together what would they eat and discuss?,"С духовной точки зрения, если бы Тор и Иисус пошли вместе обедать, что бы они ели и обсуждали?"
will the questions i ask and the answers i give in yahoo answers been on my account for ever?,"останутся ли вопросы, которые я задаю, и ответы, которые я даю в yahoo answers, в моем аккаунте навсегда?"
FFA prepared Public Speaking?,ФФА подготовила публичное выступление?
Not sure on which phone to buy?,"Не уверены, какой телефон купить?"
Hey i have a Saab 9-5 linear 2002 it has this winter mode when am i supposed to use it? Thank you?,"Эй, у меня есть Saab 9-5 linear 2002 года выпуска, у него есть этот зимний режим, когда я должен им пользоваться? Спасибо тебе?"
"please tell me the name of the actOR  who act in a south Indian movie ""Tezaab- The terror""?","пожалуйста, скажите мне имя актера, который снимается в южноиндийском фильме ""Тезааб- террор""?"
i need a name for my new gelding...?,мне нужно имя для моего нового мерина...?
do terrapins like being stroked?,"любят ли черепахи, когда их гладят?"
do you know of any good science experiments for elementary students?,знаете ли вы какие-нибудь хорошие научные эксперименты для учащихся начальных классов?
AGE DIFFERENCE  ??? im 15?,РАЗНИЦА В ВОЗРАСТЕ??? мне 15?
What percentage of nurse aides work in a nursing home?,Какой процент помощников медсестры работает в доме престарелых?
i need help in business law?,мне нужна помощь в области делового права?
will my shetland sheepdog live a shorter life if it gives birth?,"проживет ли моя шетландская овчарка более короткую жизнь, если она родит?"
Should girls be happy for their bf's success?,Должны ли девушки радоваться успеху своего парня?
How do I remove a wheel cover to change a tire to get to lugnuts?,"Как мне снять крышку колеса, чтобы сменить шину и добраться до люнетов?"
how does the structure of phospholipids relate to their function in the cell membrane?,как структура фосфолипидов соотносится с их функцией в клеточной мембране?
what song matches/relates to this story?,какая песня соответствует / имеет отношение к этой истории?
Proof that the inverse function of a continuous function is also continuous?,"Доказательство того, что обратная функция непрерывной функции также непрерывна?"
Does anyone know the name of that site that posted one liner or drawings on office supplies?,"Кто-нибудь знает название того сайта, который разместил один вкладыш или рисунки на канцелярских принадлежностях?"
is ong bak two in english or in another language?,ong bak two написан на английском или на другом языке?
Do consumers bear all the tax in the Long Run?,Несут ли потребители все налоги в долгосрочной перспективе?
How should i get my hair cut?,Как мне следует подстричься?
Help with what song this is from 2007?,"Помогите с тем, что это за песня 2007 года?"
christimas stockings-what to fill one with for my bf?,чулки christimas - чем наполнить один из них для моего парня?
Cheapest laptop with at least a  NVIDIA GeForce 8800 / ATI  Radeon HD 3850 video card?,"Самый дешевый ноутбук, по крайней мере, с видеокартой NVIDIA GeForce 8800 / ATI Radeon HD 3850?"
what are some activities you like to do with your significant other?,какими видами деятельности вам нравится заниматься со своей второй половинкой?
a grammatical question?,грамматический вопрос?
If I have Jupiter in Cancer in the Second House and Jupiter in the First House Conjunction my Gemini Ascendant?,Если у меня Юпитер в Раке во Втором доме и Юпитер в соединении Первого дома с моим Асцендентом в Близнецах?
Sims 3 problem! (download)?,Проблема в Sims 3! (скачать)?
Does anyone know the name of this old Playstation game?? Help Plz!?,"Кто-нибудь знает название этой старой игры для Playstation?? Помогите, плз!?"
"if obama wanted to stop airline attacks could he start a war with an oil rich muslim country and ""fight them?","если бы Обама хотел остановить атаки авиакомпаний, мог бы он начать войну с богатой нефтью мусульманской страной и ""бороться с ними?"
If you have unlimited texting on gophone is picture messaging free?,"Если у вас есть неограниченное количество текстовых сообщений на gophone, бесплатны ли сообщения с картинками?"
Is Northwestern reknowned for a particularly outstanding major/field?,Известен ли Северо-Западный университет как особенно выдающийся специалист / область?
What are your top 3 favorite singers or groups?,Назовите 3 ваших любимых исполнителя или группы?
Marines or Army? Im stuck?,Морская пехота или армия? Я застрял?
dude!                                                                                                        !?,чувак!                                                                                                        !?
Regents American College London?,Регентский американский колледж в Лондоне?
math homework please help me sunday on winter vaca. ad school is coming tomorrow hhheeeellpp mmmee!!?,"домашнее задание по математике, пожалуйста, помогите мне в воскресенье на зимних каникулах. завтра стартует школа рекламы, хххеееелпп, мммеее!!?"
Fender Vintage Noiseless Pickup Problem?,Проблема с бесшумным звукоснимателем Fender Vintage?
For anyone who can backflip?,"Для всех, кто умеет делать сальто назад?"
How do i tell my girlfriend of 8months that i wanna go into the military if i told her i wouldnt..?,"Как мне сказать своей девушке 8 месяцев, что я хочу пойти в армию, если я сказал ей, что не буду..?"
help write a thesis statement?,помочь написать тезисное изложение?
How have the gods blessed your life so far this year?,Как боги благословили вашу жизнь до сих пор в этом году?
which do you think are the best careers?,"какие карьеры, по вашему мнению, самые лучшие?"
Which Pantene type is Best?,Какой тип пантенола лучше всего подходит?
Could schools in the UK close due to heat?,Могут ли школы в Великобритании закрыться из-за жары?
Who else thinks the older actors and actresses acted a lot better than present day ones?,"Кто еще считает, что актеры и актрисы постарше действовали намного лучше, чем нынешние?"
buying points tax deductible when buying home?,баллы за покупку не облагаются налогом при покупке дома?
should i buy a desktop or car?,должен ли я купить настольный компьютер или автомобиль?
I need help with science hw plz help it's very easy but I can't find my textbook!!!6th grade  only easy 10 pt?,"Мне нужна помощь с наукой, пожалуйста, помогите, это очень просто, но я не могу найти свой учебник!!!6-й класс только легкий 10 пт?"
"did you just win or ""did you just won""?","вы только что выиграли или ""вы только что выиграли""?"
Please translate this phrase for me?,"Пожалуйста, переведите мне эту фразу?"
we can wash an epicare spring with water?,мы можем промыть источник epicare водой?
the difference between ethics and law?,в чем разница между этикой и законом?
What to give him for his Birthday?,Что подарить ему на День рождения?
Differential Equations Help. please!?,Дифференциальные уравнения помогают. пожалуйста!?
What do i have to do/look like to get guys to notice me? (in a good way)?,"Что я должна делать / как выглядеть, чтобы парни обратили на меня внимание? (в хорошем смысле)?"
why wont facebook let me make my profile publuic?,почему facebook не позволяет мне публиковать свой профиль?
how do i get my pay stub?,как мне получить квитанцию о выплате заработной платы?
I can't seem to find a scholarship for the children who live in single parent households?,"Кажется, я не могу найти стипендию для детей, которые живут в семьях с одним родителем?"
My boyfriend didnt call me last night... what does that mean?,Мой парень не позвонил мне прошлой ночью... что это значит?
what are the harmful effects of stopping  pee for long time?,каковы вредные последствия длительного прекращения приема мочи?
How to extend USA Passport?,Как продлить срок действия паспорта США?
Why do people hate Christians?,Почему люди ненавидят христиан?
Which government program has been operated with the most efficacy and always stays within its budget?,Какая правительственная программа осуществлялась с наибольшей эффективностью и всегда укладывалась в рамки своего бюджета?
TNA going down the drain?,ТНА летит коту под хвост?
What type of hair style and color should I get?,Какую прическу и цвет волос я должна выбрать?
Has anyone who actually have a straightalk phone able to get the free ringtones. if so how?,"Есть ли у кого-нибудь, у кого действительно есть прямой телефон, способный получить бесплатные рингтоны? если да, то как?"
how to make money online no surveys?,как заработать деньги в Интернете без опросов?
"Jerry Reed - ""Blindsided Me"" Who's got all the lyrics to this song?","Джерри Рид - ""Огорошил меня"", у кого есть все тексты к этой песне?"
How is HP Pavilion DV4-2103TU Laptop in India? Reviews Please?,"Как работает ноутбук HP Pavilion DV4-2103TU в Индии? Отзывы, пожалуйста?"
How should I end my all about me essay?,"Как я должен закончить свое эссе ""все обо мне""?"
"What does the saying ""Take him down"" mean?","Что означает поговорка ""Уложи его""?"
What was the TV series that had Transformers characters but was more 3-D ish?,"Что это был за сериал, в котором были персонажи-трансформеры, но который был более трехмерным?"
My throat really hurts! Help!?,У меня действительно болит горло! Помогите!?
Verifying the identity(Trig)?,Проверка личности (тригонометрия)?
How can I get an airline ticket from USA (new york) to philippines-cebu wherein hotels are included?,"Как я могу приобрести билет на самолет из США (Нью-Йорк) в Филиппины-Себу, в который включены отели?"
A hypothetical situation-Who would you rather be....an amputee or somebody with scoliosis?,Гипотетическая ситуация - кого бы вы предпочли be....an инвалид с ампутированной конечностью или кто-то со сколиозом?
Does the black x lack logic or is he simply avoiding answering the actual question?,Черному икс не хватает логики или он просто уклоняется от ответа на актуальный вопрос?
Why does this always happen to me?,Почему это всегда происходит со мной?
What is the movie School Gyrls about?,"О чем фильм ""Школьные гирлы""?"
figure of speach??10 points for best answer?,фигура речи??10 баллов за лучший ответ?
Poll; crackers or biscuits?,Опрос: крекеры или печенье?
What are the high energy molecules that make the most ATP?,Какие высокоэнергетические молекулы производят больше всего АТФ?
Is there such thing that plays sounds when you press a button?,"Есть ли такая штука, которая воспроизводит звуки, когда вы нажимаете кнопку?"
gay rights silence day ????????,день молчания в защиту прав геев????????
How to buy a Scottish Fold kitten with Folded ears?,Как купить шотландского вислоухого котенка со сложенными ушами?
need visuals to put on dvd any suggesstion please?,"нужны визуальные эффекты для размещения на dvd, какие-нибудь предложения, пожалуйста?"
has anyone read breaking dawn?,"кто-нибудь читал ""Рассвет""?"
Which is the second degree  polynomial whose p(1)andp(2)=0?,"Какой многочлен второй степени, у которого p(1) и p(2) =0?"
Lord Of The Rings Online ? some questions  price ?,Властелин Колец онлайн? цена некоторых вопросов?
Looking for a pattern for this lace jacket?,Ищете выкройку для этого кружевного жакета?
How do I delete a file that won't delete?,"Как мне удалить файл, который не будет удаляться?"
Computer Monitor and Black out Issues?,Проблемы с монитором компьютера и затемнением?
Do you like this story? Could you help me with it... i'm stuck?,Вам нравится эта история? Не могли бы вы помочь мне с этим?.. я застрял?
In a hydrogen atom a transition from the third to the second energy level will produce?,В атоме водорода переход с третьего на второй энергетический уровень приведет к?
Teens: what was the first Disney movie your parents let you to watch?,"Подростки: какой был первый диснеевский фильм, который ваши родители разрешили вам посмотреть?"
OMG Someone has to know this BRAIN TEAser!!!!?,"Боже, кто-то должен знать этот мозговой тизер !!!!?"
my best friend keeps on telling me lies and i'm sick of it. what do i do?,"мой лучший друг продолжает говорить мне неправду, и меня это тошнит. что мне делать?"
What did I do wrong? What is the right answer?,Что я сделал не так? Каков правильный ответ?
Where can i find good and a huge variety of Storm Trooper suits.?,Где я могу найти хорошие и огромное разнообразие костюмов штурмовика.?
What is your favourite Linkin Park album?,Какой твой любимый альбом Linkin Park?
when will case closed episode 131 - 539 be out.?,"когда выйдет закрытое дело, эпизоды 131-539.?"
Here are some jokes/riddles can you give me some similar ones?,"Вот несколько шуток / загадок, можете ли вы дать мне несколько похожих?"
What The Minimun Age That You Can Publish A Book?,"Каков Минимальный Возраст, В Течение Которого Вы Можете Опубликовать Книгу?"
Makeup and contact lense problems...?,Проблемы с макияжем и контактными линзами...?
how many people like metal? rap? pop? old 90s rock & grunge?,скольким людям нравится металл? рэп? поп? старый рок и гранж 90-х?
Where do you get a gameshark?,Где вы берете gameshark?
when you get your report card are the grades already weighted or are they your actual grade?,"когда вы получаете свой табель успеваемости, оценки уже взвешены или это ваша фактическая оценка?"
do you have to have a pediatrician present at birth?,обязательно ли вам присутствие педиатра при родах?
I broke my verizon phone could I get any phone and transfer it to my plan?,"Я сломал свой телефон verizon, могу ли я получить любой телефон и включить его в свой тарифный план?"
Could anyone describe to me this girls attitude (vids included)?,Кто-нибудь мог бы описать мне это отношение девушек (включая видео)?
is using a capture card like this illegal?,является ли использование такой карты захвата незаконным?
Is this a serious problem? or what. . .?,Является ли это серьезной проблемой? или что. . .?
If i copy a source code from a website and edit it can i get in trouble for copyright?,"Если я скопирую исходный код с веб-сайта и отредактирую его, могут ли у меня возникнуть проблемы с авторским правом?"
Why am i stuck on the loading page on Call of duty when online?,"Почему я застрял на странице загрузки Call of duty, когда я онлайн?"
just 4 fun what comes 2 mind when i say these girls names? *note alex is a girl*?,"всего 4 забавы, что приходит 2 на ум, когда я произношу имена этих девушек? *обратите внимание, что Алекс - девушка*?"
